id,Employee Name,Department,Visit_Date,Entry_Time,Exit_time,Purpose_of_visit,Day_of_Week
206,Jamie Mulvihill,Legal,2024-12-02,6:49:00,09:49:00,Other,Monday
207,Philippe Yarranton,Services,2024-05-03,7:43:54,15:43:54,Meeting,Friday
208,Dur Eaglestone,Sales,2024-05-02,8:14:54,16:14:54,Meeting,Thursday
209,Linet Knowlden,Business Development,2024-01-06,8:03:12,10:03:12,Meeting,Saturday
210,Wilton Foskin,Research and Development,2024-09-05,6:34:19,08:34:19,Meeting,Thursday
211,Rhetta Dagnan,Training,2024-09-07,9:20:35,14:20:35,Other,Saturday
212,Konstance MacArd,Marketing,2024-03-01,8:54:45,16:54:45,Work,Friday
213,Hinda Ellgood,Sales,2024-03-04,7:32:02,12:32:02,Work,Monday
214,Ronny Iddins,Sales,2024-07-02,9:02:06,13:02:06,Meeting,Tuesday
215,Therese McQuode,Research and Development,2024-11-03,8:43:02,15:43:02,Client Visit,Sunday
216,Phoebe Slee,Business Development,2024-02-02,8:03:13,16:03:13,Work,Friday
217,Jade Wade,Support,2024-09-07,7:42:00,14:42:00,Training,Saturday
218,Christal Growcott,Research and Development,2024-04-05,7:40:12,13:40:12,Meeting,Friday
219,Aida Yurenin,Engineering,2024-03-03,6:22:34,10:22:34,Meeting,Sunday
220,Leopold Coutts,Human Resources,2024-10-05,6:07:17,11:07:17,Work,Saturday
221,Rockwell Farmery,Legal,2024-06-05,6:35:46,08:35:46,Other,Wednesday
222,Merill Kulvear,Business Development,2024-08-04,9:30:37,12:30:37,Meeting,Sunday
223,Lauryn Fish,Training,2024-02-05,7:01:32,08:01:32,Work,Monday
224,Licha Alesi,Research and Development,2024-08-04,7:43:21,14:43:21,Other,Sunday
225,Rice Cannings,Human Resources,2024-10-06,7:31:32,12:31:32,Work,Sunday
226,Elfrida Petrina,Research and Development,2024-04-02,7:38:57,11:38:57,Work,Tuesday
227,Kincaid Joselevitch,Engineering,2024-09-03,8:01:46,11:01:46,Meeting,Tuesday
228,Garfield Bagley,Support,2024-11-04,6:17:43,11:17:43,Work,Monday
229,Lidia Lesaunier,Sales,2024-02-05,6:50:11,13:50:11,Meeting,Monday
230,Marianna Bavridge,Training,2024-07-07,6:54:17,07:54:17,Work,Sunday
231,Quint Mullineux,Research and Development,2024-12-06,7:39:34,11:39:34,Work,Friday
232,Dominique Adcocks,Accounting,2024-09-01,6:07:30,07:07:30,Meeting,Sunday
233,Bordie Benoey,Training,2024-11-05,9:56:32,12:56:32,Work,Tuesday
234,Robinetta Crunkhurn,Human Resources,2024-09-05,8:08:38,15:08:38,Meeting,Thursday
235,Estel Rentoll,Business Development,2024-01-04,9:12:12,16:12:12,Other,Thursday
236,Aurie Wildbore,Research and Development,2024-08-07,6:43:53,14:43:53,Work,Wednesday
237,Morna Royston,Services,2024-03-07,8:49:30,14:49:30,Work,Thursday
238,Casper Flagg,Marketing,2024-10-01,6:31:41,10:31:41,Work,Tuesday
239,Jessee Frankland,Sales,2024-04-05,7:33:01,11:33:01,Work,Friday
240,Leighton Jirsa,Product Management,2024-03-01,9:11:04,10:11:04,Meeting,Friday
241,Gusella Gates,Business Development,2024-10-02,8:49:00,15:49:00,Meeting,Wednesday
242,Burke Dobie,Accounting,2024-04-06,7:38:47,13:38:47,Work,Saturday
243,Lizbeth Keme,Business Development,2024-03-04,7:41:54,08:41:54,Work,Monday
244,Correy Boow,Product Management,2024-04-02,9:48:11,17:48:11,Training,Tuesday
245,Arnie Yuryaev,Accounting,2024-06-02,7:08:00,09:08:00,Other,Sunday
246,Konstanze Spraggs,Marketing,2024-11-01,6:21:13,10:21:13,Other,Friday
247,Carine Linny,Product Management,2024-08-04,7:28:01,08:28:01,Meeting,Sunday
248,Erny Beauman,Engineering,2024-08-03,7:44:31,10:44:31,Meeting,Saturday
249,Nyssa Streatfeild,Research and Development,2024-02-05,9:00:51,17:00:51,Meeting,Monday
250,Meggie Blackborn,Human Resources,2024-08-02,9:19:20,17:19:20,Work,Friday
251,Rayner Avramovitz,Support,2024-10-01,7:00:46,08:00:46,Meeting,Tuesday
252,Alard Crannis,Services,2024-01-04,8:07:18,13:07:18,Work,Thursday
253,Zarah Damrel,Human Resources,2024-12-04,6:12:31,11:12:31,Client Visit,Wednesday
254,Corney Liggett,Research and Development,2024-08-02,8:22:11,13:22:11,Work,Friday
255,Agna Reddan,Human Resources,2024-05-01,9:48:46,15:48:46,Meeting,Wednesday
256,Jock Eisig,Legal,2024-11-06,9:40:36,15:40:36,Work,Wednesday
257,Mallory Winterton,Engineering,2024-08-02,9:35:11,11:35:11,Client Visit,Friday
258,Dollie Ferminger,Training,2024-08-04,8:46:16,09:46:16,Meeting,Sunday
259,Thedrick Jackman,Accounting,2024-08-04,8:39:38,14:39:38,Work,Sunday
260,Arlyne Goering,Training,2024-03-07,8:49:37,11:49:37,Client Visit,Thursday
261,Adelaide Behnecke,Engineering,2024-01-04,8:57:29,10:57:29,Work,Thursday
262,Lilith Scrafton,Sales,2024-03-02,8:13:25,15:13:25,Work,Saturday
263,Flo Ferrucci,Business Development,2024-11-03,7:34:21,08:34:21,Training,Sunday
264,Emalia Burnapp,Engineering,2024-08-02,6:55:30,12:55:30,Meeting,Friday
265,Amelia Lattey,Engineering,2024-10-03,9:18:51,13:18:51,Meeting,Thursday
266,Jilli Heasly,Marketing,2024-02-05,6:23:11,08:23:11,Client Visit,Monday
267,Addie Hutcheson,Product Management,2024-02-04,9:31:48,12:31:48,Training,Sunday
268,Lotti Camock,Engineering,2024-12-05,6:02:33,08:02:33,Work,Thursday
269,Susi Riglesford,Marketing,2024-09-05,7:17:01,09:17:01,Meeting,Thursday
270,Crista Oldaker,Legal,2024-01-05,8:43:52,16:43:52,Work,Friday
271,Ardenia Casewell,Training,2024-11-01,7:54:03,09:54:03,Other,Friday
272,Margareta Hamson,Product Management,2024-06-03,9:37:39,15:37:39,Training,Monday
273,Trudie Yeowell,Services,2024-01-01,8:26:58,11:26:58,Meeting,Monday
274,Susannah Flicker,Marketing,2024-07-05,7:40:54,12:40:54,Client Visit,Friday
275,Bondon Kinig,Marketing,2024-10-05,7:11:43,09:11:43,Meeting,Saturday
276,Rolph Mulran,Human Resources,2024-03-04,6:32:52,12:32:52,Meeting,Monday
277,Isaac Ebbin,Legal,2024-03-02,7:53:23,15:53:23,Client Visit,Saturday
278,Sheppard Perkin,Research and Development,2024-10-01,6:26:58,13:26:58,Meeting,Tuesday
279,Haven Wieprecht,Support,2024-09-04,7:01:18,14:01:18,Work,Wednesday
280,Eudora Menilove,Human Resources,2024-05-03,6:42:31,07:42:31,Work,Friday
281,Sabine Tofanini,Services,2024-07-06,8:16:17,09:16:17,Training,Saturday
282,Sidnee Stienton,Legal,2024-02-03,7:12:14,15:12:14,Meeting,Saturday
283,Cordy Caygill,Support,2024-03-04,8:30:23,16:30:23,Work,Monday
284,Michael Mourton,Product Management,2024-04-04,8:06:09,14:06:09,Other,Thursday
285,Anthia Kernermann,Product Management,2024-02-04,8:14:03,14:14:03,Work,Sunday
286,Malissia Boothroyd,Training,2024-12-06,7:01:15,10:01:15,Meeting,Friday
287,Vergil Potte,Services,2024-02-04,6:36:39,08:36:39,Meeting,Sunday
288,Alard Burrus,Services,2024-01-02,8:16:53,12:16:53,Work,Tuesday
289,Leanna Butterick,Engineering,2024-01-02,9:23:52,11:23:52,Meeting,Tuesday
290,Todd Franzonello,Training,2024-08-07,6:06:29,11:06:29,Training,Wednesday
291,Vinson Ghirigori,Human Resources,2024-08-01,6:10:26,14:10:26,Meeting,Thursday
292,Xylina McCafferky,Marketing,2024-12-04,8:51:46,15:51:46,Training,Wednesday
293,Jacquenette Andreev,Accounting,2024-10-07,8:09:13,15:09:13,Other,Monday
294,Tedie Kornilyev,Support,2024-09-02,7:54:32,10:54:32,Meeting,Monday
295,Zollie O'Kennavain,Legal,2024-04-07,8:41:32,10:41:32,Meeting,Sunday
296,Egor Freezor,Human Resources,2024-12-04,9:15:47,15:15:47,Training,Wednesday
297,Tommy Ebertz,Services,2024-03-07,7:42:55,12:42:55,Meeting,Thursday
298,Vilma Gilcrist,Training,2024-06-07,6:49:16,10:49:16,Meeting,Friday
299,Flynn Tort,Training,2024-07-03,6:41:40,13:41:40,Work,Wednesday
300,Ailey Titlow,Sales,2024-11-05,7:11:44,09:11:44,Training,Tuesday
301,Bradan Merriment,Training,2024-12-06,9:11:29,10:11:29,Meeting,Friday
302,Jobey Castagnone,Services,2024-05-06,8:14:28,09:14:28,Meeting,Monday
303,Baudoin Marrison,Services,2024-07-04,6:06:50,09:06:50,Meeting,Thursday
304,Chan Stell,Legal,2024-01-06,6:52:36,08:52:36,Client Visit,Saturday
305,Andy Dommersen,Product Management,2024-02-02,6:22:04,12:22:04,Work,Friday
306,Hester Cammell,Business Development,2024-02-06,7:07:05,15:07:05,Meeting,Tuesday
307,Lanita Learmount,Training,2024-07-07,8:25:31,12:25:31,Meeting,Sunday
308,Bink Moncreiff,Product Management,2024-01-07,6:49:35,13:49:35,Work,Sunday
309,Caryn Seamen,Training,2024-04-07,9:46:52,17:46:52,Meeting,Sunday
310,Valera Kelby,Marketing,2024-08-04,7:10:05,15:10:05,Meeting,Sunday
311,Jessa Wilcox,Engineering,2024-01-04,8:46:56,09:46:56,Work,Thursday
312,Shelley Edelmann,Accounting,2024-02-01,8:46:10,12:46:10,Meeting,Thursday
313,Alex Ginglell,Business Development,2024-05-05,9:50:52,10:50:52,Training,Sunday
314,Hakeem Emmison,Product Management,2024-02-02,7:23:01,15:23:01,Work,Friday
315,Sim Alesbrook,Research and Development,2024-04-05,9:52:06,13:52:06,Meeting,Friday
316,Nestor Reinisch,Accounting,2024-11-04,6:10:51,12:10:51,Client Visit,Monday
317,Brig Cordner,Product Management,2024-10-04,8:37:54,12:37:54,Training,Friday
