uuid,Employee Name,Department,Visit_Date,Entry_time,Exit_time,Purpose of Visit,Day of Week
66687e7ffc13ae4e0923520c,Efrem Vandenhoff,Accounting,2024-03-07,8:10,15:48,Work,Thursday
66687e7ffc13ae4e0923520d,Bail Silvermann,Marketing,2024-09-02,7:41,15:55,Work,Monday
66687e7ffc13ae4e0923520e,Cheryl Adshad,Product Management,2024-03-01,9:38,14:34,Training,Friday
66687e7ffc13ae4e0923520f,Nerissa Wike,Support,2024-11-05,6:28,14:50,Training,Tuesday
66687e7ffc13ae4e09235210,Janet Quittonden,Marketing,2024-02-03,7:20,15:12,Meeting,Saturday
66687e7ffc13ae4e09235211,Verene Marishenko,Business Development,2024-02-07,7:42,15:06,Training,Wednesday
66687e7ffc13ae4e09235212,Arabella Pegler,Business Development,2024-03-05,6:44,15:09,Work,Tuesday
66687e7ffc13ae4e09235213,Deeann Lethley,Services,2024-11-03,8:57,16:26,Meeting,Sunday
66687e7ffc13ae4e09235214,Cobbie Mattei,Accounting,2024-07-06,8:14,14:21,Client Visit,Saturday
66687e7ffc13ae4e09235215,Rupert Feld,Training,2024-04-06,8:49,14:15,Client Visit,Saturday
66687e7ffc13ae4e09235216,Camellia Towey,Engineering,2024-02-07,8:25,16:38,Work,Wednesday
66687e7ffc13ae4e09235217,Karlens Clitsome,Training,2024-01-07,6:37,16:58,Training,Sunday
66687e7ffc13ae4e09235218,Malchy Tilford,Training,2024-03-04,7:56,16:52,Work,Monday
66687e7ffc13ae4e09235219,Miguelita Soames,Legal,2024-12-02,6:11,15:41,Work,Monday
66687e7ffc13ae4e0923521a,Ozzy McQuade,Human Resources,2024-11-03,6:15,17:55,Meeting,Sunday
66687e7ffc13ae4e0923521b,Jeanine Blazeby,Research and Development,2024-12-01,8:54,17:28,Training,Sunday
66687e7ffc13ae4e0923521c,Merrilee Maciaszek,Accounting,2024-03-02,7:18,14:34,Work,Saturday
66687e7ffc13ae4e0923521d,Marlene Melvin,Training,2024-10-07,8:53,15:57,Work,Monday
66687e7ffc13ae4e0923521e,Nona Cruickshanks,Sales,2024-06-03,6:28,17:32,Training,Monday
66687e7ffc13ae4e0923521f,Calida July,Product Management,2024-06-02,6:03,16:58,Work,Sunday
66687e7ffc13ae4e09235220,Manda Goodhall,Product Management,2024-10-04,9:58,17:43,Client Visit,Friday
66687e7ffc13ae4e09235221,Wayne Clutten,Services,2024-01-02,9:39,14:21,Meeting,Tuesday
66687e7ffc13ae4e09235222,Carey Pembry,Business Development,2024-11-05,9:07,16:49,Work,Tuesday
66687e7ffc13ae4e09235223,Verne Dotson,Human Resources,2024-09-01,9:35,14:02,Work,Sunday
66687e7ffc13ae4e09235224,Caresse Noir,Support,2024-08-06,8:27,16:22,Work,Tuesday
66687e7ffc13ae4e09235225,Kimberlyn Stockley,Legal,2024-03-01,7:02,15:25,Meeting,Friday
66687e7ffc13ae4e09235226,Stillmann Ivanovic,Marketing,2024-05-04,8:32,14:39,Meeting,Saturday
66687e7ffc13ae4e09235227,Hillie Melarkey,Sales,2024-07-06,8:48,17:36,Work,Saturday
66687e7ffc13ae4e09235228,Ric Emtage,Product Management,2024-01-04,7:20,16:20,Training,Thursday
66687e7ffc13ae4e09235229,Bunnie Reisenberg,Services,2024-08-07,7:49,16:28,Training,Wednesday
66687e7ffc13ae4e0923522a,Donna Learman,Product Management,2024-01-07,7:23,16:01,Client Visit,Sunday
66687e7ffc13ae4e0923522b,Leese Everwin,Marketing,2024-12-07,7:39,14:08,Work,Saturday
66687e7ffc13ae4e0923522c,Jermayne Klaus,Engineering,2024-11-07,6:47,14:46,Training,Thursday
66687e7ffc13ae4e0923522d,Margaretha Baverstock,Human Resources,2024-12-01,6:07,17:29,Work,Sunday
66687e7ffc13ae4e0923522e,Sabra Kelk,Services,2024-01-07,9:24,15:40,Client Visit,Sunday
66687e7ffc13ae4e0923522f,Tonia Patria,Business Development,2024-03-02,6:44,16:23,Work,Saturday
66687e7ffc13ae4e09235230,Clair Burwell,Training,2024-09-06,9:53,16:57,Work,Friday
66687e7ffc13ae4e09235231,Parker Minghi,Business Development,2024-06-01,6:20,15:21,Work,Saturday
66687e7ffc13ae4e09235232,Munroe Chimes,Business Development,2024-06-07,9:28,17:56,Work,Friday
66687e7ffc13ae4e09235233,Galen Petracco,Marketing,2024-07-05,7:10,14:18,Work,Friday
66687e7ffc13ae4e09235234,Fredrika Morter,Business Development,2024-05-07,8:53,16:59,Work,Tuesday
66687e7ffc13ae4e09235235,Elva Womersley,Research and Development,2024-10-05,9:46,16:38,Meeting,Saturday
66687e7ffc13ae4e09235236,Hunt Ipsgrave,Sales,2024-08-04,9:18,14:06,Work,Sunday
66687e7ffc13ae4e09235237,Rani Carbett,Human Resources,2024-05-03,8:18,15:32,Meeting,Friday
66687e7ffc13ae4e09235238,Natalya Margach,Marketing,2024-05-05,8:42,16:45,Training,Sunday
66687e7ffc13ae4e09235239,Bradney Bolletti,Sales,2024-07-03,8:16,17:41,Training,Wednesday
66687e7ffc13ae4e0923523a,Carl Emney,Sales,2024-03-02,8:27,16:25,Training,Saturday
66687e7ffc13ae4e0923523b,Lewes Trehearn,Legal,2024-05-03,7:36,15:58,Meeting,Friday
66687e7ffc13ae4e0923523c,Emera Bugden,Engineering,2024-11-05,7:13,15:45,Work,Tuesday
66687e7ffc13ae4e0923523d,Benedick Hearnes,Training,2024-01-04,9:44,14:59,Work,Thursday
66687e7ffc13ae4e0923523e,Ali Ghest,Legal,2024-07-07,6:47,16:37,Work,Sunday
66687e7ffc13ae4e0923523f,Nelli Turfin,Engineering,2024-09-05,6:02,17:22,Work,Thursday
66687e7ffc13ae4e09235240,Barbey Castane,Accounting,2024-04-06,8:39,17:05,Meeting,Saturday
66687e7ffc13ae4e09235241,Gabby Stanbro,Business Development,2024-04-06,8:01,17:45,Work,Saturday
66687e7ffc13ae4e09235242,Stacee Dies,Sales,2024-10-05,7:53,15:07,Work,Saturday
66687e7ffc13ae4e09235243,Dian Stewart,Research and Development,2024-06-01,8:13,15:05,Work,Saturday
66687e7ffc13ae4e09235244,Alaine Sterrick,Legal,2024-04-05,8:38,14:09,Training,Friday
66687e7ffc13ae4e09235245,Norbie Palphreyman,Engineering,2024-03-03,7:31,15:52,Training,Sunday
66687e7ffc13ae4e09235246,Ximenez Gookey,Engineering,2024-10-02,9:08,16:58,Meeting,Wednesday
66687e7ffc13ae4e09235247,Agathe Vacher,Training,2024-05-07,6:10,15:21,Training,Tuesday
66687e7ffc13ae4e09235248,Filip Kunrad,Marketing,2024-09-07,7:35,16:06,Training,Saturday
66687e7ffc13ae4e09235249,Deedee Frisch,Training,2024-10-07,8:48,17:15,Training,Monday
66687e7ffc13ae4e0923524a,Celie Backe,Product Management,2024-01-04,6:47,17:24,Meeting,Thursday
66687e7ffc13ae4e0923524b,Raimund Kornes,Accounting,2024-07-03,6:58,15:55,Work,Wednesday
66687e7ffc13ae4e0923524c,Randall Sturdgess,Training,2024-02-03,8:21,16:31,Meeting,Saturday
66687e7ffc13ae4e0923524d,Camala Hasnney,Human Resources,2024-04-01,6:58,16:28,Training,Monday
66687e7ffc13ae4e0923524e,Doralynn Crowley,Human Resources,2024-02-04,8:14,17:47,Meeting,Sunday
66687e7ffc13ae4e0923524f,Loren Ibbitt,Research and Development,2024-04-05,8:26,17:52,Work,Friday
66687e7ffc13ae4e09235250,Nanine Corter,Engineering,2024-09-01,9:05,17:41,Work,Sunday
66687e7ffc13ae4e09235251,Daphne Bryant,Training,2024-05-06,6:08,16:04,Meeting,Monday
66687e7ffc13ae4e09235252,Timmie Fenny,Accounting,2024-05-03,9:15,15:59,Work,Friday
66687e7ffc13ae4e09235253,Kristy Sanderson,Research and Development,2024-12-07,7:48,17:22,Work,Saturday
66687e7ffc13ae4e09235254,Madeline Masselin,Training,2024-04-06,7:43,14:40,Training,Saturday
66687e7ffc13ae4e09235255,Murdock Dabney,Legal,2024-03-04,7:22,17:25,Meeting,Monday
66687e7ffc13ae4e09235256,Tedra Berrington,Marketing,2024-12-02,7:41,14:56,Meeting,Monday
66687e7ffc13ae4e09235257,Bobbette Olivelli,Support,2024-04-03,6:29,17:14,Work,Wednesday
66687e7ffc13ae4e09235258,Costanza Miliffe,Research and Development,2024-04-04,8:45,14:00,Meeting,Thursday
66687e7ffc13ae4e09235259,Zaneta Cudihy,Research and Development,2024-11-02,8:11,16:31,Work,Saturday
66687e7ffc13ae4e0923525a,Kayne Duro,Business Development,2024-12-03,7:19,15:55,Work,Tuesday
66687e7ffc13ae4e0923525b,Colene Proughten,Engineering,2024-06-03,9:10,14:01,Work,Monday
66687e7ffc13ae4e0923525c,Bancroft Argent,Human Resources,2024-01-06,6:23,17:40,Work,Saturday
66687e7ffc13ae4e0923525d,Patrice Menaul,Sales,2024-06-03,6:21,17:53,Meeting,Monday
66687e7ffc13ae4e0923525e,Abagael Kimblen,Accounting,2024-02-02,6:38,16:31,Meeting,Friday
66687e7ffc13ae4e0923525f,Conrade Jankowski,Business Development,2024-01-04,6:34,17:16,Client Visit,Thursday
66687e7ffc13ae4e09235260,Biron Kliement,Engineering,2024-08-03,9:11,17:20,Work,Saturday
66687e7ffc13ae4e09235261,Mariejeanne Gillino,Business Development,2024-02-05,8:44,15:30,Work,Monday
66687e7ffc13ae4e09235262,Zachary Sterre,Sales,2024-03-01,7:17,17:03,Work,Friday
66687e7ffc13ae4e09235263,Bridie Hawkridge,Sales,2024-03-07,9:18,16:15,Training,Thursday
66687e7ffc13ae4e09235264,Rollo Looks,Research and Development,2024-02-03,9:25,16:56,Training,Saturday
66687e7ffc13ae4e09235265,Van Northill,Support,2024-01-05,9:46,14:18,Training,Friday
66687e7ffc13ae4e09235266,Kathleen Sicha,Sales,2024-10-07,7:22,17:29,Meeting,Monday
66687e7ffc13ae4e09235267,Theodore Roath,Accounting,2024-12-05,8:28,16:19,Client Visit,Thursday
66687e7ffc13ae4e09235268,Galvin Spenton,Product Management,2024-06-01,9:26,15:17,Meeting,Saturday
66687e7ffc13ae4e09235269,Amie Dener,Research and Development,2024-02-07,6:14,15:13,Meeting,Wednesday
66687e7ffc13ae4e0923526a,Kalle Marchetti,Human Resources,2024-06-05,6:03,14:31,Training,Wednesday
66687e7ffc13ae4e0923526b,Joleen Nannetti,Support,2024-11-05,8:19,16:50,Training,Tuesday
66687e7ffc13ae4e0923526c,Basile Franca,Engineering,2024-12-06,7:31,14:35,Meeting,Friday
66687e7ffc13ae4e0923526d,Tommi Doran,Accounting,2024-06-04,8:15,14:13,Meeting,Tuesday
66687e7ffc13ae4e0923526e,Townsend Paulazzi,Training,2024-10-03,9:41,14:23,Work,Thursday
66687e7ffc13ae4e0923526f,Lorene Brothwood,Business Development,2024-10-07,9:16,17:24,Work,Monday
66687e7ffc13ae4e09235270,David Sheerman,Business Development,2024-07-03,7:30,15:14,Work,Wednesday
66687e7ffc13ae4e09235271,Christopher Chaffer,Support,2024-02-07,6:59,16:31,Work,Wednesday
66687e7ffc13ae4e09235272,Tamma Meese,Sales,2024-11-02,7:53,15:36,Meeting,Saturday
66687e7ffc13ae4e09235273,Cordie Ceaplen,Research and Development,2024-05-02,8:16,14:07,Work,Thursday
66687e7ffc13ae4e09235274,Bear Patshull,Sales,2024-06-05,9:29,14:17,Work,Wednesday
66687e7ffc13ae4e09235275,Analise Priditt,Sales,2024-01-04,7:47,16:48,Training,Thursday
66687e7ffc13ae4e09235276,Ursala Anchor,Accounting,2024-11-03,8:51,14:26,Work,Sunday
66687e7ffc13ae4e09235277,Carlota Lademann,Accounting,2024-12-02,9:36,15:18,Work,Monday
66687e7ffc13ae4e09235278,Yolane Duetsche,Support,2024-05-01,8:55,14:44,Client Visit,Wednesday
66687e7ffc13ae4e09235279,Pauletta Twaits,Sales,2024-11-04,9:09,17:03,Training,Monday
66687e7ffc13ae4e0923527a,Torrie Feldmesser,Legal,2024-08-07,7:20,14:57,Training,Wednesday
66687e7ffc13ae4e0923527b,Alla Bartelli,Legal,2024-11-04,6:40,14:28,Work,Monday
66687e7ffc13ae4e0923527c,Windham Ambrogiotti,Business Development,2024-09-03,7:15,15:46,Work,Tuesday
66687e7ffc13ae4e0923527d,Joey Batch,Marketing,2024-01-03,9:44,14:48,Training,Wednesday
66687e7ffc13ae4e0923527e,Gayel Miskimmon,Marketing,2024-02-04,8:38,17:38,Training,Sunday
66687e7ffc13ae4e0923527f,Jacqueline Wardley,Training,2024-04-02,9:22,14:58,Work,Tuesday
66687e7ffc13ae4e09235280,Brew Day,Research and Development,2024-07-07,7:46,16:32,Work,Sunday
66687e7ffc13ae4e09235281,Jerrome Watkins,Support,2024-02-03,7:23,14:42,Work,Saturday
66687e7ffc13ae4e09235282,Pete Canter,Legal,2024-10-06,6:32,15:54,Client Visit,Sunday
66687e7ffc13ae4e09235283,Abigale Lowen,Product Management,2024-04-05,9:44,16:51,Work,Friday
66687e7ffc13ae4e09235284,Cullin Dingley,Product Management,2024-05-06,7:04,16:23,Client Visit,Monday
66687e7ffc13ae4e09235285,Cathe Schuricht,Product Management,2024-07-07,6:20,15:16,Work,Sunday
66687e7ffc13ae4e09235286,Jerrilyn Chant,Product Management,2024-03-02,6:13,15:30,Work,Saturday
66687e7ffc13ae4e09235287,Kaye Logsdale,Human Resources,2024-07-04,8:42,14:11,Work,Thursday
66687e7ffc13ae4e09235288,Francyne Spawforth,Legal,2024-02-05,8:09,15:17,Work,Monday
66687e7ffc13ae4e09235289,Willabella Neissen,Engineering,2024-12-04,7:54,15:13,Meeting,Wednesday
66687e7ffc13ae4e0923528a,Mallory Suddards,Training,2024-12-03,8:17,17:43,Work,Tuesday
66687e7ffc13ae4e0923528b,Van Palfree,Marketing,2024-04-01,9:42,15:28,Meeting,Monday
66687e7ffc13ae4e0923528c,Belvia Lowbridge,Business Development,2024-05-07,7:26,16:45,Work,Tuesday
66687e7ffc13ae4e0923528d,Marje McBeath,Engineering,2024-03-03,7:19,17:12,Work,Sunday
66687e7ffc13ae4e0923528e,Aarika Chartres,Research and Development,2024-10-05,6:40,16:14,Meeting,Saturday
66687e7ffc13ae4e0923528f,Susann Lock,Business Development,2024-05-06,8:36,15:40,Meeting,Monday
66687e7ffc13ae4e09235290,Leelah Gudgion,Engineering,2024-12-06,8:03,14:15,Work,Friday
66687e7ffc13ae4e09235291,Reidar Gerritzen,Research and Development,2024-05-06,9:54,14:12,Work,Monday
66687e7ffc13ae4e09235292,Clare MacTrustram,Product Management,2024-10-05,9:45,16:23,Work,Saturday
66687e7ffc13ae4e09235293,Esta Mussard,Research and Development,2024-01-03,6:57,16:24,Work,Wednesday
66687e7ffc13ae4e09235294,Mallory Wakerley,Human Resources,2024-02-03,6:43,17:44,Work,Saturday
66687e7ffc13ae4e09235295,Emlyn Shorto,Research and Development,2024-03-06,7:07,16:40,Training,Wednesday
66687e7ffc13ae4e09235296,Britteny Sliman,Marketing,2024-05-07,8:31,15:49,Work,Tuesday
66687e7ffc13ae4e09235297,Maiga Lampart,Research and Development,2024-08-03,9:35,16:38,Work,Saturday
66687e7ffc13ae4e09235298,Tuckie Tithecote,Training,2024-01-07,8:37,17:26,Work,Sunday
66687e7ffc13ae4e09235299,Vinny Snar,Legal,2024-11-05,9:01,17:05,Meeting,Tuesday
66687e7ffc13ae4e0923529a,Carolee Yankeev,Training,2024-11-05,9:44,15:48,Training,Tuesday
66687e7ffc13ae4e0923529b,Celina Kettlestringes,Accounting,2024-03-01,9:43,15:21,Work,Friday
66687e7ffc13ae4e0923529c,Harri Sargant,Engineering,2024-02-06,7:57,15:57,Work,Tuesday
66687e7ffc13ae4e0923529d,Shantee Duthie,Legal,2024-04-01,8:10,14:20,Meeting,Monday
66687e7ffc13ae4e0923529e,Caressa Kleynen,Accounting,2024-10-04,8:14,14:31,Meeting,Friday
66687e7ffc13ae4e0923529f,Shalna Linsley,Support,2024-06-07,8:45,14:04,Meeting,Friday
66687e7ffc13ae4e092352a0,Marna Pickton,Business Development,2024-05-05,7:49,15:11,Work,Sunday
66687e7ffc13ae4e092352a1,Carlynn Bordone,Legal,2024-02-02,9:53,17:13,Training,Friday
66687e7ffc13ae4e092352a2,Burke Dyhouse,Sales,2024-05-04,9:56,16:51,Work,Saturday
66687e7ffc13ae4e092352a3,Carl Goodanew,Engineering,2024-01-06,8:42,17:38,Meeting,Saturday
66687e7ffc13ae4e092352a4,Berkeley Taillant,Services,2024-05-07,6:59,15:15,Work,Tuesday
66687e7ffc13ae4e092352a5,Ardeen McShea,Business Development,2024-06-07,9:38,14:37,Meeting,Friday
66687e7ffc13ae4e092352a6,Betsey Fossey,Research and Development,2024-03-07,8:04,16:22,Work,Thursday
66687e7ffc13ae4e092352a7,Kathy de Castelain,Services,2024-07-04,6:29,16:51,Meeting,Thursday
66687e7ffc13ae4e092352a8,Holmes Domenge,Human Resources,2024-05-01,7:33,15:53,Client Visit,Wednesday
66687e7ffc13ae4e092352a9,Orazio Gibben,Marketing,2024-01-01,9:00,14:42,Work,Monday
66687e7ffc13ae4e092352aa,Boony Caslett,Accounting,2024-09-04,6:55,16:43,Training,Wednesday
66687e7ffc13ae4e092352ab,Gilburt Leicester,Research and Development,2024-06-06,7:13,17:07,Meeting,Thursday
66687e7ffc13ae4e092352ac,Gretna Devons,Accounting,2024-02-01,7:35,16:12,Work,Thursday
66687e7ffc13ae4e092352ad,Shannen Hlavac,Product Management,2024-11-01,7:59,16:36,Meeting,Friday
66687e7ffc13ae4e092352ae,Jeffy Wride,Product Management,2024-02-03,8:55,14:59,Training,Saturday
66687e7ffc13ae4e092352af,Rafael Parfett,Accounting,2024-01-02,9:34,17:56,Client Visit,Tuesday
66687e7ffc13ae4e092352b0,Calypso Tal,Sales,2024-10-04,7:54,14:31,Work,Friday
66687e7ffc13ae4e092352b1,Maisie Reside,Services,2024-07-07,7:32,17:59,Meeting,Sunday
66687e7ffc13ae4e092352b2,Hervey Petrelli,Accounting,2024-04-05,8:25,15:58,Training,Friday
66687e7ffc13ae4e092352b3,Pearle Stampfer,Legal,2024-01-04,7:29,17:29,Work,Thursday
66687e7ffc13ae4e092352b4,Juan Chastelain,Services,2024-02-04,9:34,17:52,Work,Sunday
66687e7ffc13ae4e092352b5,Flory Gotthard.sf,Legal,2024-03-07,9:37,14:42,Work,Thursday
66687e7ffc13ae4e092352b6,Rab Ewence,Training,2024-11-04,8:45,16:41,Meeting,Monday
66687e7ffc13ae4e092352b7,Izaak McNicol,Accounting,2024-08-06,8:42,14:23,Training,Tuesday
66687e7ffc13ae4e092352b8,Bronnie Nardoni,Legal,2024-11-07,8:47,15:14,Training,Thursday
66687e7ffc13ae4e092352b9,Wyn Edgson,Accounting,2024-09-07,7:01,14:47,Training,Saturday
66687e7ffc13ae4e092352ba,Andie Kirkby,Legal,2024-02-04,8:22,14:36,Work,Sunday
66687e7ffc13ae4e092352bb,Kelly Crosdill,Engineering,2024-05-05,7:02,16:57,Meeting,Sunday
66687e7ffc13ae4e092352bc,Monte Tregent,Engineering,2024-04-01,6:26,14:16,Work,Monday
66687e7ffc13ae4e092352bd,Constantia Crosier,Marketing,2024-01-02,9:48,17:31,Client Visit,Tuesday
66687e7ffc13ae4e092352be,Wiatt Dudlestone,Human Resources,2024-04-04,7:42,17:26,Meeting,Thursday
66687e7ffc13ae4e092352bf,Carlene Devaney,Accounting,2024-11-02,7:37,14:07,Work,Saturday
66687e7ffc13ae4e092352c0,Carmel Feldon,Sales,2024-09-03,8:01,17:58,Meeting,Tuesday
66687e7ffc13ae4e092352c1,Binky Rawlingson,Services,2024-07-04,6:05,16:14,Work,Thursday
66687e7ffc13ae4e092352c2,Melloney Fronczak,Sales,2024-10-07,6:57,16:20,Meeting,Monday
66687e7ffc13ae4e092352c3,Berget Blowfield,Product Management,2024-06-02,7:37,14:55,Meeting,Sunday
66687e7ffc13ae4e092352c4,Elliott Tieraney,Support,2024-12-06,6:32,15:16,Meeting,Friday
66687e7ffc13ae4e092352c5,Hurleigh Duckhouse,Engineering,2024-07-03,6:29,17:37,Meeting,Wednesday
66687e7ffc13ae4e092352c6,Bernita Cantillion,Product Management,2024-03-01,9:07,15:36,Training,Friday
66687e7ffc13ae4e092352c7,Mavis Sallan,Services,2024-04-07,9:15,16:51,Training,Sunday
66687e7ffc13ae4e092352c8,Margot McWhorter,Business Development,2024-04-07,9:34,16:43,Meeting,Sunday
66687e7ffc13ae4e092352c9,Tamar Thornley,Training,2024-08-04,8:58,15:22,Meeting,Sunday
66687e7ffc13ae4e092352ca,Ravi Ambrogelli,Business Development,2024-04-04,7:53,17:09,Work,Thursday
66687e7ffc13ae4e092352cb,Guillemette Patten,Accounting,2024-07-01,8:00,14:10,Work,Monday
66687e7ffc13ae4e092352cc,Chucho Cecil,Training,2024-05-06,6:03,15:25,Work,Monday
66687e7ffc13ae4e092352cd,Sinclair Lesek,Training,2024-02-03,7:21,14:54,Meeting,Saturday
66687e7ffc13ae4e092352ce,Lou Di Francecshi,Sales,2024-10-05,9:46,15:09,Training,Saturday
